recipe_id,title,title_clean,kategori,ingredients_raw,ingredients_clean,ingredients_tfidf,steps_list,steps_count,estimated_time_min,loves,URL
10161,Tempe Bacem Simpel Yummy,tempe bacem simpel yummy,tempe,"['Tempe / tahu / tempe gembus digores2 dulu di permukaannya ya', 'Bumbu :', '10 siung Bawang merah, diiris', 'Daun salam', '1 sdm peres Garam', '2 balok Gula jawa (saya pake yg balok kecil setengah lingkaran)', 'Kecap', 'Ketumbar bubuk']","['tempe tahu tempe gembus digores permukaannya', 'bumbu', 'bawang merah', 'diiris', 'daun salam', 'peres garam', 'balok gula jawa pake balok lingkaran', 'kecap', 'ketumbar']",tempe tahu tempe gembus digores permukaannya bumbu bawang merah diiris daun salam peres garam balok gula jawa pake balok lingkaran kecap ketumbar,"['1) Bawang meras iris ditumis bersama daun salam. Jika sudah harum dan kecoklatan, tuang air agak banyak ya\n2) Masukkan garam, kecap secukupnya, dan gula merah/jawa. Tunggu mendidih, koreksi rasa.\n3) Masukkan tempe / tahu. Pastikan di wajan tempe terendam air ya.\n4) Bila air sudah menyusut separuhnya, tabur ketumbar bubuk. Secukupnya ya. Saya sih cuma 1/4 bungkus untuk 1 papan tempe kemasan 3000.\n5) Jgn lupa tempe dibalik2 pelan supaya bumbu meresap rata. Matikan sajikan langsung..atau bisa digoreng bentar.\n6) TIPS: dulu sy pake bumbu heboh malah rasanya eneg dan baunya bikin enggan makan. Rupa2nya mungkin sy kebanyakan bawang putih dan ketumbarnya sudah saya campur di awal. Sehingga saat matang, bau bawang dan ketumbar betul2 meresap. Malah jadi susah sekali untuk ngepasin rasanya. Ini hanya modal bawang merah iris malah menurut saya sih lebih light dan enak rasanya.']",6,42,46,https://cookpad.com/id/resep/4236811-tempe-bacem-simpel-yummy
10162,Tumis Tempe Tomat,tumis tempe tomat,tempe,"['1 buah tempe', '2 buah tomat ukuran kecil', '3 siung bawang merah', '2 siung bawang putih', '17 biji cabe merah', 'Secukupnya garam', 'Secukupnya vetsin', 'Secukupnya gula merah', '1 sdm saus sambal', 'Secukupnya air', 'Secukupnya minyak goreng']","['tempe', 'tomat', 'bawang merah', 'bawang putih', 'cabe merah', 'garam', 'vetsin', 'gula merah', 'saus sambal', 'air', 'minyak']",tempe tomat bawang merah bawang putih cabe merah garam vetsin gula merah saus sambal air minyak,"['1) Cuci cabe, tomat, bawang merah, & bawang putih\n2) Lalu ulek bawang merah, bawang putih, cabe, & garam secukupnya, sisihkan\n3) Potong dadu tempe, sisihkan.\nPotong2 tomat, sisihkan.\n4) Panaskan teflon dgn sedikit minyak goreng, masukan bumbu yg sudah diulek sampai matang\n5) Lalu masukan tempe beri sedikit air, tambahkan vetsin, gula merah, cicipi rasa\n6) Masukan irisan tomat, aduk2, tunggu beberapa saat.\n7) Angkat, siap dinikmati :-D']",7,49,0,https://cookpad.com/id/resep/4236694-tumis-tempe-tomat
10163,Ayam Tahu Tempe Geprek,ayam tahu tempe geprek,tempe,"['1/2 kilo ayam', '1 kotak tempe', '1 bungkus tahu kuning', '6 siung bawang putih', '4 siung bawang merah', 'secukupnya Merica bubuk', '1 ruas kunyit', '1 ruas jahe', 'secukupnya Daun salam', '2 iris laos', 'Garam', 'Bahan Sambel', '15 buah cabe rawit merah', '2 siung bawang putih', '3 siung bawang merah', 'secukupnya Garam', 'secukupnya Gula pasir']","['kilo ayam', 'tempe', 'tahu kuning', 'bawang putih', 'bawang merah', 'merica bubuk', 'kunyit', 'jahe', 'daun salam', 'laos', 'garam', 'sambel', 'cabe rawit merah', 'bawang putih', 'bawang merah', 'garam', 'gula pasir']",kilo ayam tempe tahu kuning bawang putih bawang merah merica bubuk kunyit jahe daun salam laos garam sambel cabe rawit merah bawang putih bawang merah garam gula pasir,"['1) Haluskan bumbu untuk ungkep ayam tahu dan tempe, bawang merah bawang putih jahe kunyit merica dan garam.\n2) Potong-potong ayam, tahu dan tempe. Masukkan bumbu halus tambah daun salam daun laos dan air. Ungkep sampai air habis.\n3) Goreng ayam tahu dan tempe\n4) Untuk sambel, goreng sebentar bawang putih dan bawang merah. Lalu ulek dengan cabe bumbui dengan garam dan gula lalu siram sambel dengan minyak panas yang dipake goreng ayam tadi.\n5) Makannya pake nasi anget. Love bangett\n6) Happy cooking']",6,42,6,https://cookpad.com/id/resep/4236679-ayam-tahu-tempe-geprek
10164,Perkedel tempe isi sosis,perkedel tempe isi sosis,tempe,"['2 buah tempe', '2 buah telur ayam', 'secukupnya Merica bubuk', 'Bawang merah', 'Bawang putih', 'Garam', 'Sosis', 'Tepung roti', 'Saus untuk bahan pelengkap']","['tempe', 'telur ayam', 'merica bubuk', 'bawang merah', 'bawang putih', 'garam', 'sosis', 'tepung roti', 'saus pelengkap']",tempe telur ayam merica bubuk bawang merah bawang putih garam sosis tepung roti saus pelengkap,"['1) Potong dan kukus tempe (jangan terlalu lama)\n2) Haluskan bumbu (bawang merah, bawang putih dan garam) kemudian potong sosis sesuai selera\n3) Hancurkan tempe dan tambahkan bumbu yg sudah di haluskan tadi serta 2 buah telur dan merica bubuk secukupnya. Aduk hingga rata\n4) Bentuk adonan sesuai selera kemudian isi dengan sosis\n5) Diamkan adonan beberapa saat, kurang lebih 30 menit (masukan ke dalam kulkas lebih baik)\n6) Gulingkan adonan ke dalam tepung roti lalu goreng ke dalam minyak panas sampai warnanya emas kecoklatan\n7) Angkat dan tiriskan. Hias sesuai selera dan perkedel tempe isi sosis siap di sajikan']",7,30,2,https://cookpad.com/id/resep/4236697-perkedel-tempe-isi-sosis
10165,Tempe Goreng Crispy,tempe goreng crispy,tempe,"['250 gram tempe, potong sesuai selera', '100 gram tepung bumbu (aku pake tepung bumbu Golden Crispy merk S*jiku)', '50 ml (1/4 gelas) air es', '1/2 liter minyak goreng']","['tempe', 'tepung bumbu pake tepung bumbu golden crispy jiku', 'air es', 'minyak']",tempe tepung bumbu pake tepung bumbu golden crispy jiku air es minyak,"['1) Buat adonan pencelup basah dengan cara melarutkan 2-3 sdm tepung bumbu dengan air es. Sisa tepung bumbu digunakan sebagai adonan kering.\n2) Panaskan minyak di wajan. Sambil menunggu minyak panas, siapkan tempe tepungnya..\n3) Gulingkan potongan tempe ke dalam adonan kering kemudian ketuk-ketuk.\n4) Celup ke dalam adonan basah hingga rata, tiriskan sebentar.\n5) Gulingkan kembali ke adonan kering sambil diremas-remas hingga terbentuk kulit tepung yang keriting, ketuk-ketuk kembali agar sisa tepung hilang. Goreng terendam (deep frying) dalam minyak panas hingga berwarna kuning kecoklatan. Angkat dan sajikan...']",5,35,13,https://cookpad.com/id/resep/4235672-tempe-goreng-crispy
10166,Sambel kemangi coel tempe,sambel kemangi coel tempe,tempe,"['1 genggam kemangi', '7 Cabai merah jablay(merah gendut)', '2 cabai mreha kriting', '5 asam jawa', 'Sejumput gula', 'Sejumput garam,masako,penyedap rasa', 'Tempe', 'Minyak', 'Sedikit air']","['daun kemangi', 'cabai merah jablay merah gendut', 'cabai mreha kriting', 'asam jawa', 'sejumput gula', 'sejumput garam', 'masako', 'penyedap', 'tempe', 'minyak', 'air']",daun kemangi cabai merah jablay merah gendut cabai mreha kriting asam jawa sejumput gula sejumput garam masako penyedap tempe minyak air,"['1) Potong tempe abstrak saja supaya tambah gurih.. tambahkan air secukupnya, garam dan masako. Diamkan 1 menit. Sementara itu panaskan minyaknya.\n2) Ulek cabai, garam,masako, gula dan asam jawa.. stelah agak halus masukan sedikit minyak panas yg buat menggoreng tempe tadi (kira kira dua senduk. Aduk akuk lalu masukan kemangi (ngga perlu diulek, diaduk saja pakai sendok.\n3) Goreng tempenya. Sampai matang lalu sajikan. Lebih enak cari daun jati buat alas nya.. sedep......']",3,5,2,https://cookpad.com/id/resep/3953880-sambel-kemangi-coel-tempe
10167,Mangut tempe jamur tulang ayam ala fe',mangut tempe jamur tulang ayam ala fe,tempe,"['1 bungkus tempe', '1/2 kg jamur bulat', 'secukupnya Tulang ayam', '1 bungkus santan kara kecil', 'Bumbu ulek halus :', '5 bawang merah', '3 bawang putih', '1 ruas kencur kupas', '3 cabe merah keriting', '1 ruas kunyit', 'Bumbu tidak diulek :', '2 lembar daun salam', '3 lembar daun jeruk', '1 lembar sereh geprek', '3 cabe merah keriting diiris serong', '2 cabe hijau keriting diiris serong', '5 cabe rawit biarkan utuh, buang batang', '1 bungkus daun kemangi / surawung', '1 buah tomat potong 8']","['tempe', 'jamur bulat', 'tulang ayam', 'santan kara', 'bumbu ulek', 'bawang merah', 'bawang putih', 'kencur kupas', 'cabe merah keriting', 'kunyit', 'bumbu diulek', 'daun salam', 'daun jeruk', 'serai', 'cabe merah keriting diiris serong', 'cabe hijau keriting diiris serong', 'cabe rawit biarkan utuh', 'buang', 'daun kemangi surawung', 'tomat']",tempe jamur bulat tulang ayam santan kara bumbu ulek bawang merah bawang putih kencur kupas cabe merah keriting kunyit bumbu diulek daun salam daun jeruk serai cabe merah keriting diiris serong cabe hijau keriting diiris serong cabe rawit biarkan utuh buang daun kemangi surawung tomat,['1) Tumis bumbu yang diulek hi ngga harum lalu masukkan bumbu yang tak diulek & tulang ayam. Aduk rata hingga harum. Masukkan tempe & jamur. Terakhir masukkan air santan. Aduk terus di api kecil. Koreksi rasa. Beri tomat & daun surawung/kemangi. Matikan api jika rasa sudah mantap.'],1,7,17,https://cookpad.com/id/resep/4058397-mangut-tempe-jamur-tulang-ayam-ala-fe
10168,Resep tempe kering pedas manis,resep tempe kering pedas manis,tempe,"['1 bh tempe', '1 sdm gula', '1 sdm garam', '1/4 bulat gula merah', '2 lbr daun jeruk', '4 bh cabai merah keriting', 'Secukupnya kecap', '1 ibu jari lengkuas']","['tempe', 'gula', 'garam', 'bulat gula merah', 'daun jeruk', 'cabai merah keriting', 'kecap', 'lengkuas']",tempe gula garam bulat gula merah daun jeruk cabai merah keriting kecap lengkuas,"['1) Iris tempe sedang, jangan besar atau Kecil. Karena kalau besar tidak matang merata, dan Kecil rusak saat digoreng\n2) Iris semua bumbu, kecuali gula merah dan lengkuas, untuk lengkuas di geprek\n3) Goreng tempe tanpa bumbu sampai setengah kering, tiriskan\n4) Goreng bumbu sampai layu/bau harum\n5) Masukkan tempe\n6) Goreng hingga matang, kecoklat tua an. Untuk cara membuatnya silahkan lihat di link berikut \nhttps://youtu.be/S1DksD1WEnQ']",6,42,2,https://cookpad.com/id/resep/4234329-resep-tempe-kering-pedas-manis
10169,"Tempe koro tepung kriukk, mudah dan simpel",tempe koro tepung kriukk mudah simpel,tempe,"['4 bungkus tempe koro(bungkus daun)', '1 ons tepung terigu', '5 sdm tepung maizena', '3 buah bawang putih', '1 sdt bubuk ketumbar', 'Garam secukupnya (sesuai selera)', 'secukupnya Penyedap (bila perlu)', 'secukupnya Air putih', 'secukupnya Minyak goreng', '1 tangkai daun sledri']","['tempe koro daun', 'tepung terigu', 'tepung maizena', 'bawang putih', 'bubuk ketumbar', 'garam', 'penyedap', 'air putih', 'minyak', 'daun sledri']",tempe koro daun tepung terigu tepung maizena bawang putih bubuk ketumbar garam penyedap air putih minyak daun sledri,"['1) Buka bgks tempe, iris tipis2 sesuai keinginan\n2) Uleg bawang putih, campur garam (sesuai selera),bubuk ketumbar, penyedap dan air secukupnya.\n3) Tuangkan bumbu kedalam tepung terigu yg sdh dicampur tepung maizena, aduk hingga rata,masukkan irisan daun sledri.\n4) Balurkan tempe dg adonan tepung lalu goreng dg api sedang hingga matang, hidangkan dg cinta semogabermanfaat, selamat mencoba']",4,28,3,https://cookpad.com/id/resep/4233828-tempe-koro-tepung-kriukk-mudah-dan-simpel
10170,Tumis Kacang dan Tempe,tumis kacang tempe,tempe,"['1/2 papan tempe', '1 ikat kacang panjang', '2 siung bawang putih', '4 siung bawang merah', 'Kecap manis', 'Kecap asin', 'Saus raja rasa', 'Lada bubuk', 'Air']","['tempe', 'kacang panjang', 'bawang putih', 'bawang merah', 'kecap manis', 'kecap asin', 'saus raja', 'lada', 'air']",tempe kacang panjang bawang putih bawang merah kecap manis kecap asin saus raja lada air,"['1) Potong tempe dan kacang sesuai selera.\n2) Goreng tempe hingga setengah matang.\n3) Iris tipis bawang putih dan bawang merah. Tumis hingga harum.\n4) Masukkan tempe yang sudah digoreng.\n5) Tambahkan kecap, saus raja rasa, lada bubuk, dan air secukupnya.\n6) Masukkan kacang panjang.\n7) Tunggu hingga air menyusut.']",7,49,5,https://cookpad.com/id/resep/4233931-tumis-kacang-dan-tempe
